step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.705793450881612,0.8002735978112175,0.9061904761904762,0.9622222222222222,0.9406115550092194,0.9668250197941409,0.9927,0.7553191489361702
900,0.705793450881612,0.7938067404551673,0.9103174603174603,0.96,0.9370774431468961,0.966270783847981,0.9928,0.7537234042553191
800,0.7,0.7934336525307798,0.9060317460317461,0.96,0.9350030731407498,0.9652414885193983,0.992,0.750531914893617
700,0.701360201511335,0.7900758612112921,0.9041269841269841,0.9577777777777777,0.9358097725875845,0.96215360253365,0.9918,0.7404255319148936
600,0.6984382871536524,0.7857231687601045,0.8955555555555555,0.9537037037037037,0.9275891210817455,0.9623911322248614,0.9895,0.7356382978723405
500,0.6843828715365239,0.7778883223479667,0.8990476190476191,0.942962962962963,0.9217501536570375,0.9582739509105305,0.9881,0.7319148936170212
400,0.6806549118387909,0.7689342121626663,0.8841269841269841,0.9355555555555556,0.9193300553165334,0.9615993665874901,0.9866,0.7138297872340426
300,0.6736020151133502,0.7405795299092153,0.866984126984127,0.9281481481481482,0.9106100184388445,0.9535233570863024,0.9808,0.6835106382978723
200,0.6691183879093199,0.6894664842681258,0.8358730158730159,0.9188888888888889,0.8917870313460357,0.9456057007125891,0.9739,0.622872340425532
100,0.6408564231738035,0.6249222733490859,0.7785714285714286,0.8711111111111111,0.8709665027658267,0.8737133808392715,0.976,0.5303191489361702
