step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.7242317380352645,0.7934336525307798,0.9031746031746032,0.9674074074074074,0.9561309157959434,0.9670625494853523,0.9928,0.7579787234042553
900,0.7284130982367758,0.7903245864942171,0.8955555555555555,0.9662962962962963,0.9533266748617086,0.9719714964370546,0.9927,0.7617021276595745
800,0.7272544080604534,0.7892053227210546,0.9028571428571428,0.9592592592592593,0.953979717271051,0.9705463182897862,0.9922,0.7627659574468085
700,0.7254911838790932,0.7895784106454421,0.8992063492063492,0.955925925925926,0.952519975414874,0.9687252573238322,0.992,0.7537234042553191
600,0.7190931989924433,0.7873398830991171,0.9038095238095238,0.9492592592592592,0.9540181315304241,0.9619952494061758,0.9913,0.7382978723404255
500,0.7156675062972292,0.7847282676284044,0.8947619047619048,0.9485185185185185,0.9524431468961279,0.9619952494061758,0.9907,0.7127659574468085
400,0.7060453400503778,0.7630891680139286,0.8819047619047619,0.9455555555555556,0.9489858635525507,0.9582739509105305,0.9894,0.6686170212765957
300,0.6904785894206549,0.720308419350827,0.8741269841269841,0.9314814814814815,0.93600184388445,0.9602533650039589,0.9865,0.6127659574468085
200,0.6624181360201511,0.641213779380674,0.837936507936508,0.9044444444444445,0.9045789797172711,0.9388756927949327,0.979,0.5462765957446809
100,0.6185390428211587,0.574431040915309,0.7512698412698413,0.8418518518518519,0.8417332513829133,0.8008709422011084,0.9678,0.49627659574468086
