step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.7859445843828715,0.9258798656883472,0.9419047619047619,0.9662962962962963,0.9630454824830977,0.9861441013460016,0.9922,0.8218085106382979
900,0.7861460957178842,0.9261285909712722,0.9431746031746032,0.9666666666666667,0.9640826674861709,0.9836896278701505,0.992,0.8175531914893617
800,0.7847355163727959,0.9253824151224972,0.9398412698412698,0.9633333333333334,0.9602028272894899,0.9857482185273159,0.9921,0.8186170212765957
700,0.7842821158690176,0.9251336898395722,0.9355555555555556,0.9655555555555555,0.9561309157959434,0.9855106888361045,0.9918,0.8186170212765957
600,0.7828715365239295,0.9241387887078721,0.9377777777777778,0.9607407407407408,0.9536339889366933,0.9842438638163103,0.992,0.8154255319148936
500,0.7836272040302267,0.9246362392737222,0.9234920634920635,0.967037037037037,0.9547095881991395,0.9837688044338876,0.9907,0.8132978723404255
400,0.7777329974811084,0.9227707996517847,0.927936507936508,0.9625925925925926,0.9484096496619545,0.9817102137767221,0.9922,0.8058510638297872
300,0.7793954659949622,0.9232682502176346,0.9234920634920635,0.9603703703703703,0.9382682851874616,0.9826603325415677,0.992,0.8042553191489362
200,0.774911838790932,0.9192886456908345,0.9096825396825396,0.9581481481481482,0.9292409342347879,0.9823436262866192,0.9897,0.7803191489361702
100,0.7641813602015113,0.9008829747543838,0.903015873015873,0.9311111111111111,0.9045021511985248,0.9684877276326207,0.988,0.7308510638297873
