step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.8129974811083124,0.9309787339883099,0.9438095238095238,0.9866666666666667,0.9714582052858021,0.98701504354711,0.9938,0.8218085106382979
900,0.8139042821158691,0.9293620196492973,0.9404761904761905,0.9881481481481481,0.9691149354640443,0.9871733966745844,0.9939,0.8223404255319149
800,0.8121410579345089,0.9288645690834473,0.9436507936507936,0.9844444444444445,0.9701521204671174,0.9868566904196358,0.9937,0.8218085106382979
700,0.8108312342569269,0.9291132943663724,0.9434920634920635,0.9811111111111112,0.9684618930547019,0.9868566904196358,0.9936,0.8180851063829787
600,0.8093198992443325,0.9278696679517473,0.9455555555555556,0.9777777777777777,0.9703057775046097,0.9847189231987332,0.9931,0.8159574468085107
500,0.8011586901763225,0.9279940305932098,0.9406349206349206,0.9766666666666667,0.9687307928703135,0.9843230403800475,0.9928,0.8031914893617021
400,0.794206549118388,0.9227707996517847,0.9365079365079365,0.9751851851851852,0.9658113091579594,0.9833729216152018,0.9917,0.7675531914893617
300,0.7819647355163728,0.9093396343738341,0.9346031746031747,0.97,0.9571681007990166,0.9830562153602533,0.9909,0.7175531914893617
200,0.7629722921914358,0.8673050615595075,0.9214285714285714,0.9588888888888889,0.9365780577750461,0.9760095011876485,0.9893,0.6664893617021277
100,0.7359193954659949,0.828006466857356,0.8879365079365079,0.9433333333333334,0.9046558082360172,0.9123515439429929,0.9874,0.6457446808510638
